State;Crop;District;Year;Year Min;Season;Area (Hectares);Production (Tonnes);Yield (Tonnes/Hectare);Sale price (USD/Tonnes);Sale price (USD/Tonnes)
Madhya Pradesh;Arhar/Tur;GWALIOR; 2002-03;2002;Kharif     ;1031;253;0,245392823;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2003-04;2003;Kharif     ;596;475;0,796979866;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2004-05;2004;Kharif     ;375;224;0,597333333;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2005-06;2005;Kharif     ;295;151;0,511864407;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2006-07;2006;Kharif     ;120;45;0,375;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2007-08;2007;Kharif     ;221;74;0,334841629;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2008-09;2008;Kharif     ;517;286;0,553191489;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2009-10;2009;Whole Year ;342;185;0,540935673;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2010-11;2010;Kharif     ;1111;252;0,226822682;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2011-12;2011;Kharif     ;797;329;0,412797992;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2012-13;2012;Kharif     ;713;202;0,283309958;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2013-14;2013;Kharif     ;805;395;0,49068323;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2014-15;2014;Kharif     ;4000;3000;0,75;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2015-16;2015;Kharif     ;1000;445;0,445;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2018-19;2018;Kharif     ;137;169;1,233576642;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2019-20;2019;Kharif     ;130;78;0,6;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 1998-99;1998;Kharif     ;3300;4500;1,363636364;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 1999-00;1999;Kharif     ;3022;2979;0,985771013;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2000-01;2000;Kharif     ;2822;2358;0,835577605;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2001-02;2001;Kharif     ;2662;3146;1,181818182;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2002-03;2002;Kharif     ;2864;2837;0,990572626;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2003-04;2003;Kharif     ;2879;2697;0,936783605;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2004-05;2004;Kharif     ;3012;3402;1,129482072;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2005-06;2005;Kharif     ;2534;2478;0,977900552;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2006-07;2006;Kharif     ;4089;3632;0,888236733;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2007-08;2007;Kharif     ;1724;1064;0,617169374;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2008-09;2008;Kharif     ;1707;1549;0,907439953;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2009-10;2009;Whole Year ;967;1014;1,04860393;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2010-11;2010;Kharif     ;576;367;0,637152778;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2011-12;2011;Kharif     ;479;467;0,974947808;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2012-13;2012;Kharif     ;715;889;1,243356643;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2013-14;2013;Kharif     ;554;566;1,02166065;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;HARDA; 2015-16;2015;Kharif     ;2000;2000;1;774,66121;774,66121
